ID,Session,Online,DG_DataRows,DG_Coins_Kept,DG_Coins_Given,DG_RT,OS,UG_DataRows,UG_Accept,UG_Offer_Accept,UG_Coins_Given,UG_Coins_Kept,UG_Decision_RT,UG_RT,UG_Attempts,DG_UG_Diff,DG_UG_RT_Diff,UG_Total_RT,it_P6,lr_P6,eg_P6,w_P6,st_P6,repst_P6,it,lr,eg,w_lo,w_hi,st,repst,w_diff,tot_delay,tot_delay_perc,AvgRT,RT_STD,AvgRT_3SD,AvgdelayRT,Exp_delay_trials,Exp_delay_avg_rating,Exp_delay_unique_ratings,Exp_delay_auc,Exp_reward_trials,Exp_reward_avg_rating,Exp_reward_unique_ratings,Exp_reward_auc,corr_r_exp_delay,corr_int_exp_delay,corr_rsq_exp_delay,corr_r_exp_reward,corr_int_exp_reward,corr_rsq_exp_reward,School,Gender,Group,Online_y,Age_Frac,Age_YrsMths,Train_ID,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Training_Version,Group_Name,Train_Coef,SES,ComboEdu,ComboEmploy,Raw_Vocab,T_Vocab,Raw_Matrix,T_Matrix,T_ScoreSum,FSIQ-2,Perc_Rank,Age_Frac_Imp,corsi_max_wm_t,PBI_t,cf_switchrt_t,cogflex_t,REzssrtnr_t,REflankerswitch_t,REflankerinh_t,stroop_t,dprimeONEBACK_t,dprimeTWOBACK_t,english_scores,maths_scores,total_scores,time
204,1,1,,3,3,3.10439,Win32,,Yes,1,,,8.18463,,2,,,46.422135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orley Farm,F,1,1,11.47777778,"11,5",206,8,32,8,24.24242424,2,Experimental,-5.539820276,1.5,1.5,1.5,,,20,55,,,,11.152778,,0.008191662,105.39612,-0.74057066,-0.70142299,,,,,,,,,
204,2,1,,3,3,3.12647,Win32,,Yes,1,,,7.37233,,1,,,7.37233,,,,,,,,,,,,,,,18,100,1.358492222,0.600899568,1.358492222,1.358492222,6,9.609831871,6,4.804276316,4,8.617050439,4,2.550712719,-0.141447368,5.104897661,0.980626605,0.306195175,2.086074561,0.778688693,Orley Farm,F,1,1,11.96388889,"11,11",206,8,32,8,24.24242424,2,Experimental,-5.539820276,1.5,1.5,1.5,,,23,63,,,,11.152778,7,0.031458668,145.23419,-0.53012753,0.76200628,,,,,,,,,
205,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Anselms,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1,1,,4,2,4.816795,Win32,,Yes,1,,,11.170145,,1,,,11.170145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Anselms,F,1,,7.827777778,"7,9",,,,,,,,,,,,,,21,70,,,,,,0.40895826,469.20276,0.031934023,0.16739534,,,,,,,,,
205,2,1,,3,3,15.14609,Win32,,No,0,,,9.147525,,1,,,9.147525,,,,,,,,,,,,,,,16,88.88888889,2.275813333,1.763217346,2.275813333,2.365760625,6,8.317901823,6,4.248611415,4,9.011574498,4,2.695370498,-0.765079458,5.995679926,0.690332539,0.260648233,2.708333333,0.973207968,St. Anselms,F,1,,8.313888889,"8,3",,,,,,,,,,,,,,21,69,,,,,7,-0.41526419,145.35095,-0.12056625,-0.91714072,,,,,,,,,
208,0,1,,3,3,4.238155,Win32,,Yes,1,,,0.45163,,2,,,8.83432,,,,,,,,,,,,,,,3,16.66666667,1.530627778,1.667060854,1.169717647,2.004096667,6,8.467592899,4,4.281481637,4,9.972222646,2,2.990740882,-0.865873004,6.498148412,0.885587308,-0.005555471,5,0.6,St. Anselms,M,1,1,7.844444444,"7,10",227,8,34,2,5.882352941,2,Experimental,-5.579989959,2.25,2,2.5,,,18,61,,,,7.8444443,5,1.0158801,-166.66663,,1.0873121,,,,,,,,,
208,1,1,,6,0,4.50149,Win32,,Yes,1,,,5.71875,,1,,,5.71875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Anselms,M,1,1,8.15,"8,1",227,8,34,2,5.882352941,2,Experimental,-5.579989959,2.25,2,2.5,,,18,60,,,,7.8444443,5,0.033517953,597.01013,0.47426775,0.73133779,,,,,,,,,
208,2,1,,6,0,5.63356,Win32,,Yes,1,,,2.611465,,1,,,2.611465,,,,,,,,,,,,,,,18,100,0.910537222,0.806240585,0.910537222,0.910537222,6,9.990740882,2,4.997222265,4,10,1,3,0.007936387,4.962963528,0.428571429,0,5,1,St. Anselms,M,1,1,8.644444444,"8,7",227,8,34,2,5.882352941,2,Experimental,-5.579989959,2.25,2,2.5,,,13,48,,,,7.8444443,5,-0.83262789,,,,,,,,,,,,
209,0,1,,3,3,7.100885,Win32,,Yes,1,,,2.736605,,2,,,8.620885,,,,,,,,,,,,,,,17,94.44444444,2.543906389,2.576564475,2.061137353,2.547114412,6,9.143055853,5,4.590416794,4,5.733333683,4,1.742083416,-0.366904885,5.427222952,0.84031014,1.540833454,-6.970833588,0.986390843,Orley Farm,M,2,1,8.641666667,"8,7",216,8,33,6,18.18181818,2,Control,-2.363915723,2.5,1.5,3.5,,,19,61,,,,8.6416664,5,-0.43171388,,,0.72990292,,,,,,,,,
209,1,1,,3,3,4.750575,Win32,,Yes,1,,,2.6077,,1,,,2.6077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orley Farm,M,2,1,8.961111111,"8,11",216,8,33,6,18.18181818,2,Control,-2.363915723,2.5,1.5,3.5,,,17,55,,,,8.6416664,5,0.27907661,121.37207,-0.73310995,0.12816387,,,,,,105,102,103.5,300
